2 	3 	1.05e+01	1.01e+01	9.52e+00	8.77e+00	7.74e+00	6.56e+00	5.43e+00	4.49e+00	3.78e+00	3.27e+00
2 	4 	2.66e+00	2.57e+00	2.40e+00	2.11e+00	1.74e+00	1.35e+00	9.97e-01	7.13e-01	4.97e-01	3.40e-01
2 	5 	2.83e+00	2.64e+00	2.34e+00	1.99e+00	1.64e+00	1.31e+00	1.02e+00	7.80e-01	5.80e-01	4.20e-01
2 	6 	2.48e+00	2.61e+00	2.76e+00	2.99e+00	3.37e+00	3.94e+00	4.63e+00	5.41e+00	6.30e+00	7.33e+00
2 	7 	2.48e+00	2.53e+00	2.59e+00	2.68e+00	2.86e+00	3.14e+00	3.53e+00	4.05e+00	4.70e+00	5.48e+00
2 	8 	3.90e+00	4.00e+00	4.13e+00	4.34e+00	4.71e+00	5.24e+00	5.93e+00	6.79e+00	7.86e+00	9.15e+00
2 	9 	1.46e+00	1.42e+00	1.36e+00	1.25e+00	1.11e+00	9.66e-01	8.38e-01	7.33e-01	6.52e-01	5.94e-01
2 	10	5.62e+00	5.86e+00	6.16e+00	6.65e+00	7.52e+00	8.81e+00	1.04e+01	1.24e+01	1.47e+01	1.74e+01
2 	11	2.21e+00	2.29e+00	2.38e+00	2.53e+00	2.82e+00	3.26e+00	3.80e+00	4.40e+00	5.11e+00	5.96e+00
2 	12	9.55e-01	9.58e-01	9.42e-01	9.36e-01	9.70e-01	1.04e+00	1.14e+00	1.27e+00	1.48e+00	1.78e+00
2 	13	2.50e-01	2.34e-01	2.09e-01	1.77e-01	1.43e-01	1.12e-01	8.48e-02	6.27e-02	4.55e-02	3.23e-02
2 	14	3.51e-01	3.01e-01	2.51e-01	2.02e-01	1.57e-01	1.18e-01	8.69e-02	6.22e-02	4.35e-02	2.98e-02
3 	4 	4.47e+00	4.31e+00	4.03e+00	3.55e+00	2.92e+00	2.26e+00	1.67e+00	1.20e+00	8.33e-01	5.69e-01
3 	5 	4.81e+00	4.46e+00	3.94e+00	3.33e+00	2.73e+00	2.16e+00	1.67e+00	1.26e+00	9.35e-01	6.76e-01
3 	6 	3.53e-01	3.32e-01	3.04e-01	2.72e-01	2.36e-01	1.99e-01	1.63e-01	1.31e-01	1.03e-01	8.04e-02
3 	7 	3.96e+00	4.05e+00	4.17e+00	4.37e+00	4.75e+00	5.33e+00	6.07e+00	6.95e+00	8.01e+00	9.27e+00
3 	8 	1.05e+01	1.09e+01	1.13e+01	1.20e+01	1.30e+01	1.45e+01	1.66e+01	1.93e+01	2.28e+01	2.68e+01
3 	9 	1.12e+01	1.16e+01	1.22e+01	1.29e+01	1.42e+01	1.61e+01	1.87e+01	2.22e+01	2.67e+01	3.20e+01
3 	10	3.29e+00	3.34e+00	3.38e+00	3.43e+00	3.54e+00	3.77e+00	4.14e+00	4.67e+00	5.39e+00	6.28e+00
3 	11	1.11e+00	1.09e+00	1.04e+00	9.81e-01	9.14e-01	8.58e-01	8.22e-01	8.07e-01	8.17e-01	8.50e-01
3 	12	1.64e+00	1.65e+00	1.62e+00	1.56e+00	1.51e+00	1.53e+00	1.65e+00	1.90e+00	2.31e+00	2.86e+00
3 	13	4.24e-01	3.97e-01	3.53e-01	3.00e-01	2.43e-01	1.90e-01	1.44e-01	1.06e-01	7.70e-02	5.46e-02
3 	14	5.94e-01	5.11e-01	4.25e-01	3.42e-01	2.66e-01	2.01e-01	1.48e-01	1.05e-01	7.37e-02	5.04e-02
4 	5 	5.89e+00	6.05e+00	6.04e+00	5.95e+00	6.00e+00	6.32e+00	6.73e+00	7.10e+00	7.49e+00	8.02e+00
4 	6 	5.22e-01	4.61e-01	3.91e-01	3.19e-01	2.51e-01	1.94e-01	1.46e-01	1.09e-01	7.95e-02	5.71e-02
4 	7 	1.59e+00	1.40e+00	1.18e+00	9.59e-01	7.53e-01	5.74e-01	4.28e-01	3.14e-01	2.26e-01	1.61e-01
4 	8 	2.66e+00	2.33e+00	1.97e+00	1.60e+00	1.25e+00	9.56e-01	7.13e-01	5.24e-01	3.79e-01	2.70e-01
4 	9 	2.48e+00	2.46e+00	2.27e+00	1.97e+00	1.62e+00	1.29e+00	9.97e-01	7.50e-01	5.50e-01	3.93e-01
4 	10	1.77e+00	1.76e+00	1.63e+00	1.41e+00	1.16e+00	9.25e-01	7.14e-01	5.37e-01	3.94e-01	2.82e-01
4 	11	1.06e+00	1.06e+00	9.78e-01	8.49e-01	7.03e-01	5.62e-01	4.36e-01	3.30e-01	2.42e-01	1.73e-01
4 	12	1.43e+00	1.36e+00	1.20e+00	9.96e-01	7.82e-01	5.89e-01	4.27e-01	3.01e-01	2.07e-01	1.40e-01
4 	13	3.81e+00	3.92e+00	4.13e+00	4.61e+00	5.51e+00	6.63e+00	7.78e+00	8.99e+00	1.04e+01	1.22e+01
4 	14	1.10e+00	9.47e-01	8.13e-01	7.03e-01	6.19e-01	5.62e-01	5.34e-01	5.29e-01	5.43e-01	5.71e-01
5 	6 	9.05e-01	8.01e-01	6.93e-01	5.86e-01	4.80e-01	3.80e-01	2.91e-01	2.17e-01	1.59e-01	1.13e-01
5 	7 	2.77e+00	2.43e+00	2.09e+00	1.76e+00	1.44e+00	1.14e+00	8.69e-01	6.48e-01	4.71e-01	3.35e-01
5 	8 	4.46e+00	3.96e+00	3.42e+00	2.89e+00	2.36e+00	1.87e+00	1.43e+00	1.06e+00	7.74e-01	5.50e-01
5 	9 	4.75e+00	4.30e+00	3.81e+00	3.23e+00	2.60e+00	2.01e+00	1.49e+00	1.07e+00	7.49e-01	5.11e-01
5 	10	3.39e+00	3.08e+00	2.72e+00	2.31e+00	1.87e+00	1.44e+00	1.07e+00	7.69e-01	5.37e-01	3.67e-01
5 	11	2.04e+00	1.85e+00	1.64e+00	1.39e+00	1.12e+00	8.68e-01	6.44e-01	4.63e-01	3.24e-01	2.21e-01
5 	12	1.90e+00	1.85e+00	1.69e+00	1.44e+00	1.15e+00	8.70e-01	6.30e-01	4.41e-01	3.01e-01	2.01e-01
5 	13	2.19e+00	1.83e+00	1.50e+00	1.24e+00	1.04e+00	8.99e-01	8.04e-01	7.41e-01	7.04e-01	6.88e-01
5 	14	1.76e+00	1.66e+00	1.53e+00	1.42e+00	1.34e+00	1.30e+00	1.32e+00	1.38e+00	1.46e+00	1.58e+00
6 	7 	1.54e+00	1.51e+00	1.46e+00	1.38e+00	1.24e+00	1.06e+00	8.72e-01	6.94e-01	5.37e-01	4.05e-01
6 	8 	1.18e+00	1.19e+00	1.17e+00	1.13e+00	1.07e+00	1.00e+00	9.36e-01	8.83e-01	8.50e-01	8.35e-01
6 	9 	4.81e-01	4.51e-01	4.13e-01	3.60e-01	2.94e-01	2.25e-01	1.64e-01	1.16e-01	7.98e-02	5.44e-02
6 	10	6.67e-01	6.48e-01	6.22e-01	5.76e-01	5.08e-01	4.28e-01	3.50e-01	2.83e-01	2.30e-01	1.88e-01
6 	11	4.63e-01	4.60e-01	4.51e-01	4.28e-01	3.86e-01	3.33e-01	2.79e-01	2.30e-01	1.87e-01	1.50e-01
6 	12	1.59e-01	1.53e-01	1.39e-01	1.21e-01	1.01e-01	8.04e-02	6.30e-02	4.94e-02	3.92e-02	3.15e-02
6 	13	1.87e-01	1.63e-01	1.37e-01	1.11e-01	8.77e-02	6.68e-02	4.93e-02	3.53e-02	2.46e-02	1.68e-02
6 	14	7.57e-02	6.63e-02	5.73e-02	4.79e-02	3.80e-02	2.88e-02	2.09e-02	1.47e-02	1.01e-02	6.80e-03
7 	8 	4.61e+00	4.60e+00	4.50e+00	4.30e+00	3.98e+00	3.59e+00	3.20e+00	2.86e+00	2.59e+00	2.39e+00
7 	9 	1.88e+00	1.79e+00	1.68e+00	1.50e+00	1.27e+00	1.02e+00	7.86e-01	6.00e-01	4.60e-01	3.57e-01
7 	10	1.69e+00	1.65e+00	1.58e+00	1.47e+00	1.30e+00	1.10e+00	9.07e-01	7.32e-01	5.82e-01	4.58e-01
7 	11	1.25e+00	1.22e+00	1.18e+00	1.09e+00	9.60e-01	8.05e-01	6.57e-01	5.32e-01	4.31e-01	3.52e-01
7 	12	4.75e-01	4.60e-01	4.24e-01	3.74e-01	3.13e-01	2.52e-01	1.98e-01	1.55e-01	1.22e-01	9.76e-02
7 	13	5.65e-01	4.92e-01	4.12e-01	3.34e-01	2.61e-01	1.97e-01	1.44e-01	1.02e-01	7.09e-02	4.81e-02
7 	14	2.28e-01	1.99e-01	1.71e-01	1.42e-01	1.12e-01	8.48e-02	6.16e-02	4.34e-02	2.98e-02	2.00e-02
8 	9 	4.36e+00	4.25e+00	4.09e+00	3.78e+00	3.32e+00	2.77e+00	2.25e+00	1.81e+00	1.45e+00	1.17e+00
8 	10	2.44e+00	2.36e+00	2.24e+00	2.04e+00	1.75e+00	1.43e+00	1.12e+00	8.75e-01	6.81e-01	5.34e-01
8 	11	1.17e+00	1.11e+00	1.04e+00	9.19e-01	7.65e-01	6.02e-01	4.55e-01	3.37e-01	2.48e-01	1.84e-01
8 	12	7.89e-01	7.65e-01	7.01e-01	6.10e-01	5.05e-01	4.02e-01	3.15e-01	2.47e-01	1.96e-01	1.58e-01
8 	13	9.60e-01	8.36e-01	7.00e-01	5.68e-01	4.44e-01	3.34e-01	2.44e-01	1.74e-01	1.21e-01	8.27e-02
8 	14	3.88e-01	3.37e-01	2.88e-01	2.38e-01	1.88e-01	1.42e-01	1.04e-01	7.35e-02	5.08e-02	3.45e-02
9 	10	1.05e+01	1.04e+01	9.91e+00	9.04e+00	7.85e+00	6.60e+00	5.48e+00	4.57e+00	3.88e+00	3.38e+00
9 	11	3.97e+00	3.96e+00	3.78e+00	3.41e+00	2.91e+00	2.39e+00	1.90e+00	1.49e+00	1.17e+00	9.41e-01
9 	12	6.98e+00	6.76e+00	6.27e+00	5.63e+00	5.01e+00	4.50e+00	4.16e+00	3.97e+00	3.90e+00	3.89e+00
9 	13	1.05e+00	9.38e-01	8.01e-01	6.54e-01	5.12e-01	3.85e-01	2.79e-01	1.97e-01	1.35e-01	9.10e-02
9 	14	1.41e+00	1.27e+00	1.09e+00	8.88e-01	6.95e-01	5.23e-01	3.81e-01	2.70e-01	1.86e-01	1.26e-01
10	11	6.58e+00	6.45e+00	6.18e+00	5.71e+00	5.14e+00	4.57e+00	4.02e+00	3.51e+00	3.06e+00	2.70e+00
10	12	4.93e+00	4.78e+00	4.46e+00	4.15e+00	4.03e+00	4.01e+00	3.93e+00	3.75e+00	3.53e+00	3.33e+00
10	13	7.45e-01	6.64e-01	5.68e-01	4.66e-01	3.66e-01	2.76e-01	2.01e-01	1.42e-01	9.77e-02	6.59e-02
10	14	9.98e-01	9.00e-01	7.72e-01	6.31e-01	4.94e-01	3.72e-01	2.71e-01	1.92e-01	1.33e-01	8.96e-02
11	12	2.94e+00	2.85e+00	2.66e+00	2.40e+00	2.16e+00	1.97e+00	1.83e+00	1.75e+00	1.71e+00	1.70e+00
11	13	4.43e-01	3.95e-01	3.38e-01	2.77e-01	2.17e-01	1.63e-01	1.18e-01	8.34e-02	5.73e-02	3.86e-02
11	14	5.90e-01	5.32e-01	4.56e-01	3.73e-01	2.92e-01	2.20e-01	1.60e-01	1.14e-01	7.85e-02	5.32e-02
12	13	1.19e+00	1.09e+00	9.27e-01	7.47e-01	5.73e-01	4.21e-01	2.99e-01	2.07e-01	1.40e-01	9.34e-02
12	14	2.13e+00	1.83e+00	1.50e+00	1.18e+00	8.94e-01	6.53e-01	4.64e-01	3.22e-01	2.20e-01	1.48e-01
13	14	3.48e+00	3.22e+00	2.91e+00	2.60e+00	2.33e+00	2.07e+00	1.81e+00	1.57e+00	1.37e+00	1.21e+00
